original_url,id_a,idioma_a,id_b,idioma_b,similitud
https://hitdarderut-haaretz.org/acharit-halelot5,en/end-of-nights5,en,es/end-of-nights5,es,0.8672266006469727
https://hitdarderut-haaretz.org/acharit-halelot5,en/end-of-nights5,en,pt/end-of-nights5,pt,0.8662572503089905
https://hitdarderut-haaretz.org/acharit-halelot5,es/end-of-nights5,es,pt/end-of-nights5,pt,0.9800533056259155
https://hitdarderut-haaretz.org/acharit-halelot6,en/end-of-nights6,en,es/end-of-nights6,es,0.8235160708427429
https://hitdarderut-haaretz.org/acharit-halelot6,en/end-of-nights6,en,pt/end-of-nights6,pt,0.7986365556716919
https://hitdarderut-haaretz.org/acharit-halelot6,es/end-of-nights6,es,pt/end-of-nights6,pt,0.8749475479125977
https://hitdarderut-haaretz.org/acharit-halelot9,en/end-of-nights9,en,es/end-of-nights9,es,0.8814846277236938
https://hitdarderut-haaretz.org/acharit-halelot9,en/end-of-nights9,en,pt/end-of-nights9,pt,0.8849767446517944
https://hitdarderut-haaretz.org/acharit-halelot9,es/end-of-nights9,es,pt/end-of-nights9,pt,0.9531441926956177
https://hitdarderut-haaretz.org/actualia,en/alternative-commentary,en,es/alternative-commentary,es,0.8530533909797668
https://hitdarderut-haaretz.org/actualia,en/alternative-commentary,en,pt/alternative-commentary,pt,0.8645751476287842
https://hitdarderut-haaretz.org/actualia,es/alternative-commentary,es,pt/alternative-commentary,pt,0.9263303875923157
https://hitdarderut-haaretz.org/actualia1,en/alternative-commentary1,en,es/alternative-commentary1,es,0.9474548101425171
https://hitdarderut-haaretz.org/actualia1,en/alternative-commentary1,en,pt/alternative-commentary1,pt,0.9342445731163025
https://hitdarderut-haaretz.org/actualia1,es/alternative-commentary1,es,pt/alternative-commentary1,pt,0.9730217456817627
https://hitdarderut-haaretz.org/actualia10,en/alternative-commentary10,en,es/alternative-commentary10,es,0.9565895199775696
https://hitdarderut-haaretz.org/actualia10,en/alternative-commentary10,en,pt/alternative-commentary10,pt,0.9475972652435303
https://hitdarderut-haaretz.org/actualia10,es/alternative-commentary10,es,pt/alternative-commentary10,pt,0.9747022390365601
https://hitdarderut-haaretz.org/actualia11,en/alternative-commentary11,en,es/alternative-commentary11,es,0.9167650938034058
https://hitdarderut-haaretz.org/actualia11,en/alternative-commentary11,en,pt/alternative-commentary11,pt,0.9067689180374146
https://hitdarderut-haaretz.org/actualia11,es/alternative-commentary11,es,pt/alternative-commentary11,pt,0.9739245176315308
https://hitdarderut-haaretz.org/actualia14,en/alternative-commentary14,en,es/alternative-commentary14,es,0.8916385173797607
https://hitdarderut-haaretz.org/actualia14,en/alternative-commentary14,en,pt/alternative-commentary14,pt,0.8967554569244385
https://hitdarderut-haaretz.org/actualia14,es/alternative-commentary14,es,pt/alternative-commentary14,pt,0.9740758538246155
https://hitdarderut-haaretz.org/actualia15,en/alternative-commentary15,en,es/alternative-commentary15,es,0.9011492133140564
https://hitdarderut-haaretz.org/actualia15,en/alternative-commentary15,en,pt/alternative-commentary15,pt,0.9064836502075195
https://hitdarderut-haaretz.org/actualia15,es/alternative-commentary15,es,pt/alternative-commentary15,pt,0.9608500003814697
