par_idiomas,count,mean,std,min,25%,50%,75%,max
en-es,300.0,0.8875446879863739,0.06094593586533829,0.6274145841598511,0.8566778749227524,0.9062007367610931,0.9315472841262817,0.9747841358184814
en-pt,300.0,0.8791407324870427,0.06540424812624929,0.549464225769043,0.8457659631967545,0.8964419960975647,0.9272707253694534,0.9731249809265137
es-pt,300.0,0.9430785803000132,0.04429840256964001,0.6526809334754944,0.927464172244072,0.9562713801860809,0.9737513363361359,0.9916115999221802
